add_dens_source,diffuse_dens,lin_solve_dens,advect_dens,add_source_vel,diffuse_vel,lin_solve_vel,advect_vel
0.00197232,0.212281,0.0985304,0.0722649,0.00872952,-0.111112,0.111093,-1.9005e-05,0.0326999
0.018696,0.254811,0.122367,0.0203352,0.00063397,-0.103413,0.103396,-1.7112e-05,0.0118406
0.00193834,0.182537,0.0906004,0.0173361,0.000624343,-0.0914425,0.091427,-1.5475e-05,0.010656
0.021957,0.214268,0.107604,0.0354051,0.00878305,-0.110043,0.110027,-1.5598e-05,0.0126406
0.0125442,0.237902,0.108262,0.0554617,0.000773907,-0.142816,0.142799,-1.708e-05,0.0130208
0.0227825,0.245835,0.107632,0.0294978,0.00506984,-0.115845,0.115826,-1.882e-05,0.0339846
0.0616924,0.271479,0.194003,0.0900114,0.00237532,-0.12752,0.127499,-2.1384e-05,0.025099
0.00262503,0.241022,0.130167,0.0390241,0.0070323,-0.118959,0.118941,-1.8133e-05,0.0168561
0.00526409,0.215902,0.101181,0.0192342,0.000755908,-0.102233,0.102217,-1.5732e-05,0.0115006
0.00197632,0.182061,0.0913105,0.0181862,0.00108157,-0.0945037,0.0944864,-1.7277e-05,0.0109684
0.00288515,0.184042,0.0877203,0.0255907,0.000674966,-0.0966372,0.0966218,-1.5348e-05,0.0109605
0.00626516,0.209436,0.108998,0.0811384,0.00535642,-0.131786,0.131772,-1.4484e-05,0.0261757
0.0126265,0.219374,0.0972022,0.0189095,0.000615601,-0.0980399,0.0980242,-1.5628e-05,0.0117599
0.00207339,0.189292,0.0907807,0.0180305,0.000625273,-0.0952572,0.0952418,-1.5405e-05,0.0111837
0.00228809,0.179466,0.0862709,0.017287,0.000772649,-0.0937959,0.0937826,-1.3323e-05,0.0112459
0.0019516,0.182026,0.08769,0.0174636,0.000673727,-0.0935014,0.0934918,-9.56e-06,0.0112191
0.00286248,0.198556,0.0908199,0.0182395,0.000773347,-0.0975223,0.0975107,-1.1572e-05,0.0111796
0.00200222,0.182031,0.0917495,0.0640112,0.00146761,-0.105715,0.1057,-1.5206e-05,0.0268566
0.0131864,0.263255,0.115577,0.0677918,0.000672283,-0.102338,0.102325,-1.3621e-05,0.0127008
0.00196835,0.220966,0.0909235,0.0184533,0.000622351,-0.0975693,0.0975549,-1.4375e-05,0.0118855
0.00193823,0.178123,0.0861124,0.0280203,0.000716467,-0.0921783,0.0921685,-9.824e-06,0.011563
0.00207571,0.19082,0.0865233,0.0376271,0.000692328,-0.105484,0.105471,-1.3443e-05,0.0124406
0.00251044,0.18198,0.0907145,0.0175131,0.000629543,-0.0922828,0.092268,-1.4879e-05,0.0116709
